"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.035,0.741657825072459,0.619684684684685,0.744053426248548,0.0534823665534208,0.0827798668093099,0.0783210902811717,"L2_Linear_SVM"
0.05,0.742560966890235,0.60493993993994,0.758501742160279,0.0495557226475687,0.0806814963311752,0.0754710919137925,"L2_Linear_SVM"
0.06,0.745854068354068,0.602237237237237,0.766620209059233,0.0479525409409941,0.0782094800038695,0.0691812539042695,"L2_Linear_SVM"
0.015,0.700414229560571,0.662522522522523,0.613716608594657,0.0627589668736539,0.0787080237126737,0.100194932590822,"L2_Linear_SVM"
0.025,0.70047304272914,0.6196996996997,0.673600464576074,0.0617565089577924,0.077304663144185,0.0931635711412084,"L2_Linear_SVM"
0.035,0.699703824033092,0.590510510510511,0.70609756097561,0.0604011161324151,0.0789254639590195,0.0851646056983195,"L2_Linear_SVM"
0.05,0.699720879416001,0.571021021021021,0.718130081300813,0.0563284939844883,0.0847369516242457,0.0816333182561817,"L2_Linear_SVM"
0.06,0.699340350803765,0.563333333333333,0.720092915214866,0.0560983461240117,0.0856509804793184,0.0855877996124043,"L2_Linear_SVM"
0.015,0.705433865921671,0.673318318318318,0.614308943089431,0.0535234953023152,0.0839218225413617,0.0834396587259937,"L2_Linear_SVM"
0.025,0.705141125446003,0.630915915915916,0.682218350754936,0.0560941008672798,0.0842075075935206,0.0708055125637446,"L2_Linear_SVM"
0.035,0.703712702249288,0.594534534534535,0.7301393728223,0.0548481252451686,0.0771623849026605,0.074039871440001,"L2_Linear_SVM"
0.05,0.698072410389484,0.578138138138138,0.731672473867596,0.0518030238166668,0.0883600093744603,0.0619876652938036,"L2_Linear_SVM"
0.06,0.698152856689442,0.578123123123123,0.733995354239257,0.0496487505308001,0.0847807057516933,0.073476387875313,"L2_Linear_SVM"
0.015,0.727380795429576,0.702342342342342,0.636271777003484,0.0587706174255765,0.0774417429550827,0.083500529689724,"L2_Linear_SVM"
0.025,0.726023166023166,0.664174174174174,0.671707317073171,0.060442861277048,0.0899420450151921,0.0750766064355512,"L2_Linear_SVM"
0.035,0.727928878355708,0.636441441441441,0.711858304297329,0.0580303599274295,0.080789991633031,0.0618964753547153,"L2_Linear_SVM"
0.05,0.726631343887441,0.611396396396396,0.738222996515679,0.055534400653486,0.081849033615756,0.0628637994960849,"L2_Linear_SVM"
0.06,0.725438687816737,0.60539039039039,0.743449477351916,0.0544959489047415,0.077608906240456,0.0623537404731913,"L2_Linear_SVM"
0.015,0.715576403930062,0.696726726726727,0.609256678281069,0.058329321270458,0.0680766978500276,0.105364769806203,"L2_Linear_SVM"
0.025,0.713305622695867,0.650690690690691,0.669163763066202,0.0570793785011998,0.0831097737967208,0.0879931836343516,"L2_Linear_SVM"
0.035,0.712327074461221,0.608258258258258,0.712148664343786,0.0576644467547129,0.0791030434872876,0.0789015969333263,"L2_Linear_SVM"
0.05,0.710336651982993,0.563108108108108,0.741777003484321,0.0570371347068337,0.0781249726583495,0.0722887498098044,"L2_Linear_SVM"
0.06,0.710891605891606,0.552222222222222,0.747026713124274,0.0552645375962634,0.0718481524397382,0.0658615663311391,"L2_Linear_SVM"
0.015,0.731790640815031,0.722912912912913,0.615505226480836,0.0494778263313175,0.0520508626622739,0.0837103326586805,"L2_Linear_SVM"
0.025,0.731902634341659,0.677297297297297,0.692485481997677,0.0494176295500966,0.0590305135908081,0.0756722852230884,"L2_Linear_SVM"
0.035,0.733134179475643,0.634414414414414,0.73411149825784,0.0472022975415537,0.0610681696297994,0.0674177609158458,"L2_Linear_SVM"
0.05,0.737401975145878,0.610540540540541,0.744123112659698,0.0477983411504504,0.0608531778141848,0.0661541362671289,"L2_Linear_SVM"
0.06,0.739713371908494,0.605075075075075,0.747015098722416,0.0479141873207021,0.067006509351966,0.0733668414632127,"L2_Linear_SVM"
0.015,0.706596239096239,0.67984984984985,0.610696864111498,0.0580648384505247,0.075225558565282,0.0871760848694926,"L2_Linear_SVM"
0.025,0.707415804306048,0.633558558558559,0.659140534262486,0.0568854367411432,0.0906059989000017,0.0879381587869089,"L2_Linear_SVM"
0.035,0.705378209219673,0.584684684684685,0.711614401858304,0.0547462815615046,0.0827113216506278,0.0639425301207935,"L2_Linear_SVM"
0.05,0.701770891100159,0.566831831831832,0.725470383275261,0.0531047372566022,0.0868631178933626,0.0643677553063288,"L2_Linear_SVM"
0.06,0.702329036353427,0.556531531531532,0.73458768873403,0.053316205202313,0.0871448205479715,0.0737925433533955,"L2_Linear_SVM"
0.015,0.715518750457775,0.685900900900901,0.614308943089431,0.0559226539501771,0.0672828211805419,0.0968622271877477,"L2_Linear_SVM"
0.025,0.718126794041428,0.623303303303303,0.691777003484321,0.0567430138823099,0.0778760686923659,0.097556711823385,"L2_Linear_SVM"
0.035,0.718292151036053,0.583663663663664,0.735284552845529,0.0565141852926049,0.0765292697740375,0.0811003070621321,"L2_Linear_SVM"
0.05,0.713291226766837,0.552177177177177,0.752613240418119,0.0542666932236363,0.0748618424907948,0.0757271797689898,"L2_Linear_SVM"
0.06,0.711524643110009,0.546756756756757,0.750638792102207,0.0552221667283354,0.0764811396149638,0.0756355135524268,"L2_Linear_SVM"
0.015,0.713379067220531,0.683183183183183,0.655528455284553,0.0546738651211919,0.0568941349086787,0.0925373257576343,"L2_Linear_SVM"
0.025,0.714635079330201,0.641411411411411,0.702473867595819,0.0534692449317757,0.0650221870366984,0.0803805566468647,"L2_Linear_SVM"
0.035,0.715060182133353,0.608153153153153,0.746004645760743,0.0517551763613004,0.0677347746893799,0.0735807981307076,"L2_Linear_SVM"
0.05,0.713729147265733,0.588633633633634,0.758466898954704,0.0506551124805434,0.0757063321137536,0.0786949817905016,"L2_Linear_SVM"
0.06,0.713650348955227,0.576681681681682,0.755598141695703,0.0510014890639699,0.0746175631703565,0.076312842407337,"L2_Linear_SVM"
0.015,0.71095933041055,0.661381381381381,0.639186991869919,0.0617603526337108,0.0669144343462124,0.108802520123698,"L2_Linear_SVM"
0.025,0.70970713745104,0.620165165165165,0.69602787456446,0.0602173220375894,0.0645268574570136,0.0986346873850491,"L2_Linear_SVM"
0.035,0.709559402608183,0.590195195195195,0.728060394889663,0.0578292127658665,0.0761058746484381,0.0840219931843851,"L2_Linear_SVM"
0.05,0.710103413518048,0.572762762762763,0.742961672473868,0.0565234957473958,0.0846192933771457,0.0858074382461796,"L2_Linear_SVM"
0.06,0.711416765197253,0.577717717717718,0.743403019744483,0.0565186370835236,0.0795023914482085,0.0859142973668313,"L2_Linear_SVM"
0.015,0.734781227220252,0.74033033033033,0.575586527293844,0.0528330328817872,0.064030854206597,0.0780030050228567,"L2_Linear_SVM"
0.025,0.73498102632249,0.671756756756757,0.693693379790941,0.0511932682680236,0.068063742063617,0.0721906776423951,"L2_Linear_SVM"
0.035,0.736630881752833,0.639204204204204,0.740243902439024,0.0501985837635429,0.0710805440193987,0.0647661390443677,"L2_Linear_SVM"
