eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.001,8,0,0.8,1,0.5,500,0.7088233922075385,0.466975975975976,0.8256422764227642,0.05481084931215934,0.08537587127499759,0.06607547731636274,XGBoost
0.001,8,0,0.8,1,0.6,500,0.7093609589554711,0.46620120120120123,0.8236236933797909,0.05429033693742328,0.08592157876789985,0.06592799078425339,XGBoost
0.001,8,0,0.8,1,0.7,500,0.7056904099221173,0.46135885885885886,0.8196097560975609,0.05483891993175617,0.08828262258810918,0.06511868143996012,XGBoost
0.01,8,0,0.8,1,0.4,500,0.7078949472120204,0.5310375375375376,0.7653600464576075,0.05471331563357137,0.08345808395555065,0.06667119177521699,XGBoost
0.01,8,0,0.8,1,0.5,500,0.7124042430932674,0.5335585585585586,0.7734843205574913,0.05322686139114043,0.08217457036861409,0.06443554529165307,XGBoost
0.01,8,0,0.8,1,0.6,500,0.7125408989128501,0.5309924924924925,0.780718931475029,0.05287788336523884,0.08073729066330568,0.0625541971349208,XGBoost
0.01,8,0,0.8,1,0.7,500,0.7115437711230395,0.5285585585585586,0.7802473867595818,0.052433715968000984,0.0816604017015287,0.06525179804757447,XGBoost
0.1,8,0,0.8,1,0.4,500,0.6628781586464513,0.5502732732732732,0.6846178861788618,0.05218737229408171,0.07991593129842078,0.07090471066192454,XGBoost
0.1,8,0,0.8,1,0.5,500,0.6696731600938918,0.5513048048048048,0.697103368176539,0.053522935956975784,0.0809358066123717,0.0699554936017308,XGBoost
0.1,8,0,0.8,1,0.6,500,0.6756066894420553,0.5541576576576577,0.706993031358885,0.05318719390605997,0.08192070482287929,0.06748468100557972,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6764773850505558,0.5526276276276276,0.7114227642276423,0.05363879618990675,0.08198502428829461,0.06700290381803495,XGBoost
1,8,0,0.8,1,0.4,500,0.5853803707889074,0.5319009009009009,0.5910301974448315,0.06339600217250034,0.08579212058282039,0.07821948799266529,XGBoost
1,8,0,0.8,1,0.5,500,0.6013869130454497,0.5426381381381381,0.6050580720092915,0.060844151937109514,0.08381734774612327,0.0805385584948001,XGBoost
1,8,0,0.8,1,0.6,500,0.604337601102845,0.5396081081081081,0.6132729384436701,0.05924775187373914,0.08495778752239343,0.07653918052147285,XGBoost
1,8,0,0.8,1,0.7,500,0.6112435527862358,0.5360840840840841,0.627513356562137,0.060791926571747375,0.08475665048315008,0.07350513248722478,XGBoost
0.001,8,0,0.8,1,0.4,500,0.678392150861663,0.46291741741741743,0.7809128919860627,0.05724036837749048,0.08532066799301559,0.07167967932467963,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6782330797696652,0.4592162162162162,0.7846550522648084,0.05668135314994501,0.08696452273682619,0.07073229852389237,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6739864856145344,0.45802852852852854,0.7831196283391405,0.05543259423082666,0.087295605032612,0.0702830830909537,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6680023577584553,0.4562357357357357,0.7780952380952381,0.05659753024758462,0.08647955672332637,0.07353121576859391,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6784671666439959,0.5031936936936937,0.7329349593495935,0.05452374114980428,0.08386790046620006,0.06919310173037324,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6822257501403843,0.5055225225225225,0.741253193960511,0.05467308316744116,0.08402489456005971,0.06847150100290103,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6824566491578686,0.5053318318318318,0.7429245063879211,0.05463235188912052,0.08560371564338282,0.06821387448700586,XGBoost
0.01,8,0,0.8,1,0.7,500,0.6804419698444089,0.5065855855855856,0.7461486643437863,0.054636594098359186,0.08110353424052771,0.06862818889423263,XGBoost
0.1,8,0,0.8,1,0.4,500,0.637389137395235,0.5312132132132132,0.6587293844367015,0.0566858846435487,0.08135491401423843,0.07543181259711534,XGBoost
0.1,8,0,0.8,1,0.5,500,0.641989465946783,0.5273033033033033,0.667260162601626,0.057840275569840234,0.08510576855237452,0.07639790772227104,XGBoost
0.1,8,0,0.8,1,0.6,500,0.6467826284472626,0.5288918918918919,0.6744808362369338,0.05565225450576065,0.08178194605010351,0.07453274229047746,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6485571486120266,0.5246891891891892,0.6771289198606272,0.05551758729796005,0.08417212239776733,0.07529721642433795,XGBoost
1,8,0,0.8,1,0.4,500,0.5664701835982324,0.516018018018018,0.5809860627177701,0.05896750960164222,0.08481019024871823,0.07978499837608517,XGBoost
1,8,0,0.8,1,0.5,500,0.5745651923700704,0.5159864864864865,0.5890487804878048,0.06513764660903973,0.08689941626096385,0.0786516282981439,XGBoost
1,8,0,0.8,1,0.6,500,0.5768090189492628,0.5140840840840841,0.5954169570267132,0.06062185945889942,0.0856415456402783,0.07845782385981066,XGBoost
1,8,0,0.8,1,0.7,500,0.5847831123806734,0.5188738738738738,0.6043159117305459,0.057841941991834664,0.08750789237015937,0.07806874403242181,XGBoost
0.001,8,0,0.8,1,0.4,500,0.6748715588410711,0.43501951951951956,0.7864982578397213,0.05515586032929498,0.08202980500647819,0.07482368321093534,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6761199030040493,0.43510060060060063,0.786938443670151,0.05534166511603259,0.0857172579205907,0.07195021625101108,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6738821160010184,0.43554954954954955,0.785150987224158,0.05554158593431649,0.08400824974540172,0.0733778503794025,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6692616318409002,0.43482282282282286,0.7823728222996515,0.05461048287841373,0.08610305800921728,0.07108751951139906,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6738965455002041,0.5109504504504505,0.7231289198606272,0.05437278947993854,0.07761958711571543,0.06976874760380221,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6776330973830974,0.5133543543543544,0.7260092915214866,0.052902743573389234,0.08017548737873695,0.07180404604671904,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6772248781882928,0.5096036036036036,0.7292845528455285,0.05337793365748503,0.08084833056427479,0.07270986550341559,XGBoost
0.01,8,0,0.8,1,0.7,500,0.6767530274176615,0.5070270270270271,0.731191637630662,0.053437644932192746,0.08003360605591577,0.07152171018173929,XGBoost
0.1,8,0,0.8,1,0.4,500,0.6340295173222003,0.5333618618618619,0.6537793263646923,0.05452994866385869,0.08007156010249966,0.07180213179839547,XGBoost
0.1,8,0,0.8,1,0.5,500,0.6381951829878659,0.5307717717717718,0.6583461091753775,0.05610495841131279,0.08260732074436858,0.07362794873073056,XGBoost
0.1,8,0,0.8,1,0.6,500,0.6400346888700548,0.5277642642642643,0.6656132404181184,0.05361456013852495,0.077315172249474,0.07155712635962212,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6431251530275921,0.5309654654654655,0.6680673635307782,0.05395380172713104,0.08159957117338068,0.07493057252920106,XGBoost
1,8,0,0.8,1,0.4,500,0.5686347728390412,0.5155915915915916,0.5828780487804878,0.05928135877354675,0.08306190378773307,0.08168635979232908,XGBoost
1,8,0,0.8,1,0.5,500,0.5757658468573102,0.5174864864864865,0.5861265969802555,0.06332841007337393,0.08343954622137793,0.07781844195427273,XGBoost
1,8,0,0.8,1,0.6,500,0.5854143350667741,0.515888888888889,0.6035168408826945,0.06074420640553989,0.08252388959005084,0.079664197749456,XGBoost
1,8,0,0.8,1,0.7,500,0.5877090322029347,0.520415915915916,0.6095365853658536,0.05970335523530041,0.08309895871268609,0.07670230940504685,XGBoost
0.001,8,0,0.8,1,0.4,500,0.6836130668996523,0.4386651651651652,0.8066829268292683,0.055099468532736354,0.07916132936586259,0.06975244389345493,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6855362392008734,0.43685585585585585,0.8126864111498258,0.05363874662069793,0.08065056872944777,0.06833558488018734,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6857861179995326,0.4306906906906907,0.8150360046457608,0.05266837829501533,0.07900974852021861,0.06873098825604879,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6832394572272621,0.431981981981982,0.8142346109175378,0.05292876280465749,0.08067916072496363,0.06573874801796908,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6819729686132125,0.5162507507507508,0.7333565621370499,0.05344895424574646,0.07807766102375409,0.06815420141626158,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6827113838577253,0.5086591591591592,0.7402439024390244,0.05221229025152724,0.08149669856492327,0.06894994229413746,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6848162552796699,0.5028303303303303,0.7459790940766551,0.051906258358343636,0.08006470042914463,0.06983756665656761,XGBoost
