	level_1	AUC
296	Cross-validation	0.6756756756756757
297	Cross-validation	0.7483912483912484
298	Cross-validation	0.7017195767195767
299	Cross-validation	0.7384823848238481
300	Cross-validation	0.7187902187902189
301	Cross-validation	0.7416344916344916
302	Cross-validation	0.63996138996139
303	Cross-validation	0.7473544973544973
304	Cross-validation	0.6626016260162602
305	Cross-validation	0.6734234234234234
306	Cross-validation	0.6856499356499357
307	Cross-validation	0.6412483912483913
308	Cross-validation	0.7202380952380951
309	Cross-validation	0.7483062330623306
310	Cross-validation	0.777992277992278
311	Cross-validation	0.683075933075933
312	Cross-validation	0.7097812097812097
313	Cross-validation	0.6025132275132274
314	Cross-validation	0.798780487804878
315	Cross-validation	0.6283783783783784
316	Cross-validation	0.7351994851994852
317	Cross-validation	0.6483268983268984
318	Cross-validation	0.6653439153439153
319	Cross-validation	0.7093495934959348
320	Cross-validation	0.5945945945945945
321	Cross-validation	0.6386743886743886
322	Cross-validation	0.6962676962676964
323	Cross-validation	0.6808862433862434
324	Cross-validation	0.7276422764227642
325	Cross-validation	0.6663449163449162
326	Cross-validation	0.6927284427284428
327	Cross-validation	0.6515444015444016
328	Cross-validation	0.740410052910053
329	Cross-validation	0.7228997289972899
330	Cross-validation	0.7516087516087516
331	Cross-validation	0.8166023166023166
332	Cross-validation	0.731981981981982
333	Cross-validation	0.6875
334	Cross-validation	0.6460027100271003
335	Cross-validation	0.7429214929214929
336	Cross-validation	0.6589446589446589
337	Cross-validation	0.749034749034749
338	Cross-validation	0.7275132275132274
339	Cross-validation	0.630420054200542
340	Cross-validation	0.786036036036036
341	Cross-validation	0.7303732303732304
342	Cross-validation	0.6766409266409267
343	Cross-validation	0.7566137566137567
344	Cross-validation	0.6551490514905149
345	Cross-validation	0.6573359073359073
346	Cross-validation	0.7203989703989704
347	Cross-validation	0.7712355212355212
348	Cross-validation	0.6402116402116401
349	Cross-validation	0.7195121951219512
350	Cross-validation	0.6914414414414414
351	Cross-validation	0.770913770913771
352	Cross-validation	0.6705276705276705
353	Cross-validation	0.6749338624338626
354	Cross-validation	0.6852981029810298
355	Cross-validation	0.6480051480051481
356	Cross-validation	0.7596525096525097
