	level_1	AUC
211	Cross-validation	0.7689832689832691
212	Cross-validation	0.7323037323037324
213	Cross-validation	0.7222222222222223
214	Cross-validation	0.725609756097561
215	Cross-validation	0.6872586872586872
216	Cross-validation	0.7850707850707851
217	Cross-validation	0.6911196911196912
218	Cross-validation	0.792989417989418
219	Cross-validation	0.7269647696476965
220	Cross-validation	0.75997425997426
221	Cross-validation	0.702059202059202
222	Cross-validation	0.6647361647361647
223	Cross-validation	0.7288359788359788
224	Cross-validation	0.7222222222222222
225	Cross-validation	0.6866151866151866
226	Cross-validation	0.6808236808236809
227	Cross-validation	0.7715572715572716
228	Cross-validation	0.7645502645502645
229	Cross-validation	0.7649051490514905
230	Cross-validation	0.6879021879021879
231	Cross-validation	0.702059202059202
232	Cross-validation	0.8011583011583012
233	Cross-validation	0.8035714285714286
234	Cross-validation	0.7425474254742548
235	Cross-validation	0.7850707850707851
236	Cross-validation	0.6763191763191764
237	Cross-validation	0.6994851994851995
238	Cross-validation	0.7962962962962963
239	Cross-validation	0.6836043360433605
240	Cross-validation	0.7908622908622909
241	Cross-validation	0.5952380952380953
242	Cross-validation	0.7702702702702704
243	Cross-validation	0.7182539682539683
244	Cross-validation	0.7676151761517614
245	Cross-validation	0.7940797940797941
246	Cross-validation	0.6653796653796654
247	Cross-validation	0.7915057915057915
248	Cross-validation	0.7182539682539683
249	Cross-validation	0.7005420054200542
250	Cross-validation	0.7709137709137709
251	Cross-validation	0.6576576576576576
252	Cross-validation	0.6801801801801802
253	Cross-validation	0.7559523809523808
254	Cross-validation	0.7242547425474255
255	Cross-validation	0.7722007722007722
256	Cross-validation	0.8352638352638353
257	Cross-validation	0.752895752895753
258	Cross-validation	0.6805555555555556
259	Cross-validation	0.6863143631436314
260	Cross-validation	0.7438867438867439
261	Cross-validation	0.7290862290862291
262	Cross-validation	0.7818532818532818
263	Cross-validation	0.7506613756613757
264	Cross-validation	0.7405149051490515
265	Cross-validation	0.7541827541827542
266	Cross-validation	0.8185328185328186
267	Cross-validation	0.7393822393822393
268	Cross-validation	0.7321428571428572
269	Cross-validation	0.728319783197832
270	Cross-validation	0.712998712998713
271	Cross-validation	0.7574002574002574
272	Cross-validation	0.7084942084942086
273	Cross-validation	0.7387566137566137
274	Cross-validation	0.7344173441734417
275	Cross-validation	0.631917631917632
276	Cross-validation	0.7812097812097812
277	Cross-validation	0.7323037323037324
278	Cross-validation	0.7883597883597883
279	Cross-validation	0.679539295392954
280	Cross-validation	0.7117117117117117
281	Cross-validation	0.7844272844272844
282	Cross-validation	0.6853281853281854
283	Cross-validation	0.7414021164021165
284	Cross-validation	0.6470189701897019
285	Cross-validation	0.8211068211068212
286	Cross-validation	0.7927927927927927
287	Cross-validation	0.7220077220077221
288	Cross-validation	0.6203703703703703
289	Cross-validation	0.6761517615176151
290	Cross-validation	0.7297297297297297
291	Cross-validation	0.7046332046332047
292	Cross-validation	0.7413127413127413
293	Cross-validation	0.7341269841269842
294	Cross-validation	0.8021680216802168
295	Cross-validation	0.75997425997426
296	Cross-validation	0.6660231660231661
297	Cross-validation	0.731016731016731
298	Cross-validation	0.677910052910053
299	Cross-validation	0.8048780487804877
300	Cross-validation	0.6917631917631917
301	Cross-validation	0.7342342342342343
302	Cross-validation	0.8416988416988417
303	Cross-validation	0.7757936507936508
304	Cross-validation	0.7154471544715447
305	Cross-validation	0.8610038610038611
306	Cross-validation	0.6698841698841699
307	Cross-validation	0.7027027027027027
308	Cross-validation	0.7665343915343916
309	Cross-validation	0.6775067750677506
310	Cross-validation	0.6930501930501931
311	Cross-validation	0.7760617760617761
312	Cross-validation	0.7876447876447876
313	Cross-validation	0.7579365079365079
314	Cross-validation	0.8082655826558265
315	Cross-validation	0.7953667953667954
316	Cross-validation	0.8262548262548263
317	Cross-validation	0.7966537966537968
318	Cross-validation	0.7109788359788359
319	Cross-validation	0.8197831978319784
320	Cross-validation	0.8462033462033463
321	Cross-validation	0.7033462033462035
322	Cross-validation	0.7773487773487774
323	Cross-validation	0.7916666666666667
324	Cross-validation	0.7757452574525745
325	Cross-validation	0.7812097812097812
326	Cross-validation	0.7104247104247104
327	Cross-validation	0.7831402831402833
328	Cross-validation	0.7566137566137566
329	Cross-validation	0.725609756097561
330	Cross-validation	0.7451737451737452
331	Cross-validation	0.8114543114543116
332	Cross-validation	0.8828828828828829
333	Cross-validation	0.7142857142857142
334	Cross-validation	0.8035230352303523
335	Cross-validation	0.851994851994852
336	Cross-validation	0.6853281853281853
337	Cross-validation	0.8075933075933076
338	Cross-validation	0.7533068783068783
339	Cross-validation	0.7113821138211383
340	Cross-validation	0.6821106821106822
341	Cross-validation	0.7516087516087515
342	Cross-validation	0.7734877734877735
343	Cross-validation	0.8187830687830688
344	Cross-validation	0.747289972899729
345	Cross-validation	0.7548262548262549
346	Cross-validation	0.7722007722007723
347	Cross-validation	0.7265122265122265
348	Cross-validation	0.7242063492063492
349	Cross-validation	0.7134146341463414
350	Cross-validation	0.6389961389961389
351	Cross-validation	0.6782496782496782
352	Cross-validation	0.7348777348777349
353	Cross-validation	0.6818783068783069
354	Cross-validation	0.80420054200542
355	Cross-validation	0.7483912483912485
356	Cross-validation	0.6698841698841699
357	Cross-validation	0.7483912483912484
358	Cross-validation	0.7162698412698413
359	Cross-validation	0.7330623306233062
360	Cross-validation	0.7966537966537968
361	Cross-validation	0.6763191763191764
362	Cross-validation	0.7535392535392536
363	Cross-validation	0.718915343915344
364	Cross-validation	0.6592140921409214
365	Cross-validation	0.7657657657657657
366	Cross-validation	0.7895752895752897
367	Cross-validation	0.722007722007722
