	level_1	AUC
252	Cross-validation	0.6832010582010581
253	Cross-validation	0.6197089947089947
254	Cross-validation	0.826058201058201
255	Cross-validation	0.6891891891891893
256	Cross-validation	0.7232947232947234
257	Cross-validation	0.7096560846560848
258	Cross-validation	0.6587301587301587
259	Cross-validation	0.6051587301587301
260	Cross-validation	0.7818532818532817
261	Cross-validation	0.7393822393822393
262	Cross-validation	0.6494708994708995
263	Cross-validation	0.6937830687830688
264	Cross-validation	0.6858465608465609
265	Cross-validation	0.6544401544401545
266	Cross-validation	0.7252252252252253
267	Cross-validation	0.6494708994708994
268	Cross-validation	0.6884920634920635
269	Cross-validation	0.7367724867724867
270	Cross-validation	0.6486486486486486
271	Cross-validation	0.6692406692406693
272	Cross-validation	0.7857142857142857
273	Cross-validation	0.5601851851851852
274	Cross-validation	0.6964285714285715
275	Cross-validation	0.703989703989704
276	Cross-validation	0.6795366795366795
277	Cross-validation	0.658068783068783
278	Cross-validation	0.7242063492063493
279	Cross-validation	0.7275132275132276
280	Cross-validation	0.6158301158301159
281	Cross-validation	0.6731016731016731
282	Cross-validation	0.7652116402116401
283	Cross-validation	0.7096560846560847
284	Cross-validation	0.6805555555555555
285	Cross-validation	0.7812097812097812
286	Cross-validation	0.6737451737451737
287	Cross-validation	0.6064814814814815
288	Cross-validation	0.671957671957672
289	Cross-validation	0.7857142857142858
290	Cross-validation	0.6981981981981983
291	Cross-validation	0.7934362934362934
292	Cross-validation	0.5853174603174603
293	Cross-validation	0.6633597883597884
294	Cross-validation	0.7367724867724867
295	Cross-validation	0.6756756756756757
296	Cross-validation	0.7425997425997426
297	Cross-validation	0.7440476190476191
298	Cross-validation	0.7394179894179894
299	Cross-validation	0.7347883597883598
300	Cross-validation	0.6589446589446589
301	Cross-validation	0.6293436293436294
302	Cross-validation	0.806878306878307
303	Cross-validation	0.7658730158730159
304	Cross-validation	0.7533068783068783
305	Cross-validation	0.6846846846846847
306	Cross-validation	0.7535392535392534
307	Cross-validation	0.671957671957672
308	Cross-validation	0.6084656084656084
309	Cross-validation	0.6858465608465609
310	Cross-validation	0.7754182754182755
311	Cross-validation	0.6344916344916345
312	Cross-validation	0.8002645502645502
313	Cross-validation	0.6243386243386243
314	Cross-validation	0.6250000000000001
315	Cross-validation	0.7400257400257401
316	Cross-validation	0.7123552123552124
317	Cross-validation	0.7592592592592593
318	Cross-validation	0.6746031746031746
319	Cross-validation	0.6984126984126984
320	Cross-validation	0.7432432432432433
321	Cross-validation	0.6177606177606179
322	Cross-validation	0.7314814814814815
323	Cross-validation	0.6865079365079366
324	Cross-validation	0.7255291005291006
325	Cross-validation	0.7374517374517375
326	Cross-validation	0.7992277992277993
327	Cross-validation	0.6527777777777778
328	Cross-validation	0.5496031746031745
329	Cross-validation	0.78505291005291
330	Cross-validation	0.6705276705276706
331	Cross-validation	0.74002574002574
332	Cross-validation	0.6884920634920635
333	Cross-validation	0.6197089947089947
334	Cross-validation	0.7374338624338624
335	Cross-validation	0.6666666666666667
336	Cross-validation	0.6814671814671815
337	Cross-validation	0.6362433862433863
338	Cross-validation	0.6990740740740741
339	Cross-validation	0.5687830687830687
340	Cross-validation	0.6846846846846846
341	Cross-validation	0.8153153153153153
342	Cross-validation	0.7096560846560847
343	Cross-validation	0.669973544973545
344	Cross-validation	0.615079365079365
345	Cross-validation	0.7516087516087516
346	Cross-validation	0.6196911196911197
347	Cross-validation	0.7817460317460317
348	Cross-validation	0.5826719576719577
349	Cross-validation	0.6640211640211641
350	Cross-validation	0.7097812097812098
351	Cross-validation	0.6126126126126126
352	Cross-validation	0.7063492063492063
353	Cross-validation	0.7447089947089948
354	Cross-validation	0.705026455026455
355	Cross-validation	0.5630630630630631
356	Cross-validation	0.8037323037323036
357	Cross-validation	0.6997354497354497
358	Cross-validation	0.7447089947089947
359	Cross-validation	0.6898148148148149
360	Cross-validation	0.6640926640926642
361	Cross-validation	0.6093951093951093
362	Cross-validation	0.6964285714285714
363	Cross-validation	0.7486772486772487
364	Cross-validation	0.7275132275132276
365	Cross-validation	0.7265122265122266
366	Cross-validation	0.7940797940797941
367	Cross-validation	0.6646825396825397
368	Cross-validation	0.7473544973544973
369	Cross-validation	0.5634920634920634
370	Cross-validation	0.628056628056628
371	Cross-validation	0.7213642213642214
372	Cross-validation	0.6620370370370371
373	Cross-validation	0.7195767195767195
374	Cross-validation	0.757936507936508
375	Cross-validation	0.6814671814671815
376	Cross-validation	0.7548262548262548
377	Cross-validation	0.7691798941798942
378	Cross-validation	0.6613756613756614
379	Cross-validation	0.6104497354497355
380	Cross-validation	0.7689832689832691
381	Cross-validation	0.7027027027027027
382	Cross-validation	0.5773809523809523
383	Cross-validation	0.6845238095238095
384	Cross-validation	0.6607142857142857
385	Cross-validation	0.6711711711711712
386	Cross-validation	0.7985842985842987
387	Cross-validation	0.6190476190476191
388	Cross-validation	0.6547619047619047
389	Cross-validation	0.6898148148148148
390	Cross-validation	0.6196911196911197
391	Cross-validation	0.6705276705276706
392	Cross-validation	0.7242063492063492
393	Cross-validation	0.673941798941799
394	Cross-validation	0.748015873015873
395	Cross-validation	0.6763191763191764
396	Cross-validation	0.6936936936936938
397	Cross-validation	0.6904761904761905
398	Cross-validation	0.7142857142857143
399	Cross-validation	0.7109788359788359
400	Cross-validation	0.7490347490347491
401	Cross-validation	0.6171171171171171
402	Cross-validation	0.6917989417989417
403	Cross-validation	0.7149470899470899
404	Cross-validation	0.7268518518518519
405	Cross-validation	0.8075933075933076
406	Cross-validation	0.6595881595881596
407	Cross-validation	0.6726190476190476
408	Cross-validation	0.6296296296296297
409	Cross-validation	0.808862433862434
410	Cross-validation	0.7445302445302446
411	Cross-validation	0.7490347490347491
412	Cross-validation	0.7301587301587301
413	Cross-validation	0.6712962962962963
414	Cross-validation	0.6216931216931217
415	Cross-validation	0.7445302445302445
416	Cross-validation	0.7078507078507079
417	Cross-validation	0.626984126984127
418	Cross-validation	0.7804232804232804
419	Cross-validation	0.6521164021164022
420	Cross-validation	0.7915057915057916
421	Cross-validation	0.6846846846846848
422	Cross-validation	0.6534391534391535
423	Cross-validation	0.6759259259259259
424	Cross-validation	0.7427248677248677
425	Cross-validation	0.7284427284427284
426	Cross-validation	0.6936936936936937
427	Cross-validation	0.6362433862433863
428	Cross-validation	0.6481481481481481
429	Cross-validation	0.7731481481481481
430	Cross-validation	0.7387387387387387
431	Cross-validation	0.6853281853281854
432	Cross-validation	0.6798941798941799
433	Cross-validation	0.6587301587301588
434	Cross-validation	0.8227513227513228
435	Cross-validation	0.6602316602316602
436	Cross-validation	0.62998712998713
437	Cross-validation	0.7202380952380951
438	Cross-validation	0.7506613756613757
439	Cross-validation	0.7711640211640212
440	Cross-validation	0.6795366795366796
441	Cross-validation	0.694980694980695
442	Cross-validation	0.6765873015873016
443	Cross-validation	0.7804232804232806
444	Cross-validation	0.6772486772486772
445	Cross-validation	0.7612612612612613
446	Cross-validation	0.7882882882882883
447	Cross-validation	0.6904761904761905
448	Cross-validation	0.6567460317460316
449	Cross-validation	0.5674603174603174
450	Cross-validation	0.7335907335907336
451	Cross-validation	0.6447876447876448
452	Cross-validation	0.7182539682539683
453	Cross-validation	0.6025132275132274
454	Cross-validation	0.7294973544973544
455	Cross-validation	0.6879021879021878
456	Cross-validation	0.7393822393822395
457	Cross-validation	0.7248677248677249
458	Cross-validation	0.7242063492063493
459	Cross-validation	0.6197089947089948
460	Cross-validation	0.8030888030888031
461	Cross-validation	0.6885456885456886
462	Cross-validation	0.7089947089947091
463	Cross-validation	0.6587301587301588
464	Cross-validation	0.6653439153439153
465	Cross-validation	0.7368082368082368
466	Cross-validation	0.6370656370656371
467	Cross-validation	0.7599206349206349
468	Cross-validation	0.6593915343915344
469	Cross-validation	0.6177248677248677
470	Cross-validation	0.7232947232947233
471	Cross-validation	0.7265122265122265
472	Cross-validation	0.6957671957671957
473	Cross-validation	0.6871693121693122
474	Cross-validation	0.6626984126984127
475	Cross-validation	0.7380952380952381
476	Cross-validation	0.640926640926641
