"cost","loss","epsilon","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.5,"L2_primal",0.001,0.761548322712957,0.567563063063063,0.816075493612079,0.0478449579739597,0.0806762135342945,0.0578716307567265,"L2_Logistic_Regression"
0.5,"L2_primal",0.01,0.761574609452658,0.567831831831832,0.816170731707317,0.0478214563778966,0.0804584984884338,0.057603961647439,"L2_Logistic_Regression"
0.5,"L2_primal",0.1,0.760605548056768,0.572066066066066,0.809903600464576,0.0479485553119957,0.0798702422864239,0.0591740283957805,"L2_Logistic_Regression"
1,"L2_dual",0.001,0.761597582774412,0.571448948948949,0.808996515679443,0.0474621810454754,0.0795525260818864,0.0592448793575162,"L2_Logistic_Regression"
1,"L2_dual",0.01,0.761592453080258,0.571503003003003,0.808996515679443,0.0474540484594278,0.0796693859246045,0.0592065156399415,"L2_Logistic_Regression"
1,"L2_dual",0.1,0.761610459762899,0.57160960960961,0.808516840882694,0.0474707691377219,0.0793230891209661,0.0595356553415419,"L2_Logistic_Regression"
1,"L1",0.001,0.759916219355244,0.57812012012012,0.797173054587689,0.0487016070331647,0.0836987478651009,0.0783781204972366,"L2_Logistic_Regression"
1,"L1",0.01,0.761062532044239,0.576321321321321,0.801608594657375,0.048680307529743,0.0795091785076663,0.0685621351282821,"L2_Logistic_Regression"
1,"L1",0.1,0.75950894274065,0.575717717717718,0.801421602787456,0.0487380178750981,0.0799395049080126,0.0661072718251701,"L2_Logistic_Regression"
1,"L2_primal",0.001,0.761585776543094,0.571503003003003,0.808947735191638,0.0474622790420951,0.0795590653331955,0.0592985388870894,"L2_Logistic_Regression"
1,"L2_primal",0.01,0.761595070680437,0.571719219219219,0.808757259001161,0.0475026437049549,0.0796400106350722,0.0593920958818173,"L2_Logistic_Regression"
1,"L2_primal",0.1,0.759780253249765,0.576294294294294,0.800152148664344,0.0470083348425821,0.0797027215430654,0.0618247259060882,"L2_Logistic_Regression"
0.001,"L2_dual",0.001,0.673646160969332,0.0154474474474474,0.996554006968641,0.0616436764915746,0.0305127116958541,0.0112074247991377,"L2_Logistic_Regression"
0.001,"L2_dual",0.01,0.67367592331007,0.0155555555555556,0.996505226480836,0.0616349312283574,0.030601474975961,0.0112454110838656,"L2_Logistic_Regression"
0.001,"L2_dual",0.1,0.673665738037689,0.0156126126126126,0.996363530778165,0.0616192556434693,0.030551094966208,0.0115474282175447,"L2_Logistic_Regression"
