"Overall","names","model"
0.990434006033244,"Otu00053","Random_Forest"
1.22876854350699,"Otu00054","Random_Forest"
1.19919886171979,"Otu00055","Random_Forest"
1.26204811167223,"Otu00056","Random_Forest"
0.68365538519773,"Otu00057","Random_Forest"
5.98997175837468,"Otu00058","Random_Forest"
1.16087138986803,"Otu00059","Random_Forest"
0.926512012914714,"Otu00060","Random_Forest"
0.766383598388746,"Otu00061","Random_Forest"
0.351253107321056,"Otu00062","Random_Forest"
0.560451708056029,"Otu00063","Random_Forest"
0.834451110079113,"Otu00064","Random_Forest"
0.809348541032498,"Otu00065","Random_Forest"
0.965347555605989,"Otu00066","Random_Forest"
0.902736675233406,"Otu00067","Random_Forest"
1.27948667653031,"Otu00068","Random_Forest"
0.210198258340662,"Otu00069","Random_Forest"
0.940254926377268,"Otu00070","Random_Forest"
1.0515513277852,"Otu00071","Random_Forest"
2.7032467286118,"Otu00072","Random_Forest"
0.828315316532119,"Otu00073","Random_Forest"
0.657472566762689,"Otu00074","Random_Forest"
2.09338120095479,"Otu00075","Random_Forest"
1.25005065796633,"Otu00076","Random_Forest"
0.883522781691058,"Otu00077","Random_Forest"
0.389733284090221,"Otu00078","Random_Forest"
0.599397200637395,"Otu00079","Random_Forest"
0.366800032036709,"Otu00080","Random_Forest"
0.993198518481211,"Otu00081","Random_Forest"
0.562215043729852,"Otu00082","Random_Forest"
0.735710917166212,"Otu00083","Random_Forest"
0.950147577451829,"Otu00084","Random_Forest"
0.926503844220438,"Otu00085","Random_Forest"
0.737115167960187,"Otu00086","Random_Forest"
0.771195149188866,"Otu00087","Random_Forest"
1.13193137837009,"Otu00088","Random_Forest"
0.98170974570209,"Otu00089","Random_Forest"
0.713764560723033,"Otu00090","Random_Forest"
1.44117077532925,"Otu00091","Random_Forest"
0.770033752440128,"Otu00092","Random_Forest"
0.58728633530841,"Otu00093","Random_Forest"
0.344713361150064,"Otu00094","Random_Forest"
0.979909264621645,"Otu00095","Random_Forest"
1.01844223564459,"Otu00096","Random_Forest"
1.15383463268746,"Otu00097","Random_Forest"
0.643287219336518,"Otu00098","Random_Forest"
0.186214985312393,"Otu00099","Random_Forest"
0.633911517099771,"Otu00100","Random_Forest"
0.747835421275599,"Otu00101","Random_Forest"
1.00935912450054,"Otu00102","Random_Forest"
0.0970641299319948,"Otu00103","Random_Forest"
