"mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
80,0.749063466340905,0.520174174174174,0.837598141695703,0.0573396856207695,0.0756522569727227,0.0638833617318985,"Random_Forest"
500,0.807333944571749,0.631163663663664,0.844767711962834,0.0472294729392781,0.076861086048969,0.0558174641503059,"Random_Forest"
1000,0.813494756516098,0.643246246246246,0.857632984901278,0.0439936898202494,0.0763236725275194,0.0525314703110432,"Random_Forest"
1500,0.81391647004147,0.629963963963964,0.866210220673635,0.043965905560752,0.0773171071400542,0.0509397589262653,"Random_Forest"
80,0.763269321586395,0.49140990990991,0.869047619047619,0.052621341174509,0.0821598362939971,0.0546148015028645,"Random_Forest"
500,0.821369953577271,0.622298798798799,0.889908246225319,0.0433081240252134,0.0762063107923096,0.0452399728240641,"Random_Forest"
1000,0.820437876029339,0.622459459459459,0.90618931475029,0.043741378460243,0.0752808003540589,0.0422123506657506,"Random_Forest"
1500,0.817648192181729,0.617436936936937,0.911938443670151,0.0444745199475914,0.0744153238878962,0.0405246991047825,"Random_Forest"
80,0.744744189747239,0.482223723723724,0.845609756097561,0.051930997117671,0.0740574416236144,0.0604106107903526,"Random_Forest"
500,0.799563298054152,0.602081081081081,0.857580720092915,0.0445913457160268,0.0720368140827902,0.0537084804272326,"Random_Forest"
1000,0.804070159445159,0.601271771771772,0.875660859465737,0.0447918923178196,0.0743005399974696,0.0488617987673117,"Random_Forest"
1500,0.80304591438128,0.597307807807808,0.885222996515679,0.0452511142349148,0.0743068874487061,0.0473832004154853,"Random_Forest"
80,0.746906709845734,0.515274774774775,0.847091753774681,0.0537522801568397,0.0755753366785222,0.0616939757578108,"Random_Forest"
500,0.807432718868694,0.613408408408408,0.86102787456446,0.046725260157012,0.0775218306398343,0.0571337822864419,"Random_Forest"
1000,0.812872942193064,0.615192192192192,0.873836236933798,0.0454913642266091,0.0751417325510652,0.0503716928556887,"Random_Forest"
1500,0.81218559369474,0.61212012012012,0.881918699186992,0.0459070065694139,0.0749681548598577,0.0491625332152926,"Random_Forest"
80,0.759282269203001,0.558184684684685,0.835349593495935,0.054678426370929,0.0808161259554006,0.0626801335282737,"Random_Forest"
500,0.811656591696226,0.624779279279279,0.853555168408827,0.0464970681037689,0.081317986414808,0.0534130606606213,"Random_Forest"
1000,0.81869218696048,0.607358858858859,0.872642276422764,0.0442289408282241,0.081411504587232,0.0522116809019539,"Random_Forest"
1500,0.818898207004914,0.598812312312312,0.887224157955865,0.0442646149629576,0.0823751238063084,0.0498590422515971,"Random_Forest"
80,0.761499071806999,0.529993993993994,0.849623693379791,0.0534862984966253,0.0748899337790589,0.0592559256000483,"Random_Forest"
500,0.800870570919351,0.607566066066066,0.852555168408827,0.0434273979990004,0.0746783734924395,0.0539410942514878,"Random_Forest"
1000,0.803761925252779,0.59946996996997,0.859969802555168,0.0430047828304716,0.0764898631165854,0.0520947852195499,"Random_Forest"
1500,0.80335882790456,0.5928003003003,0.869777003484321,0.0428221428048097,0.0767058770751706,0.0497693939114687,"Random_Forest"
80,0.752269565297004,0.506666666666667,0.855241579558653,0.0524206801380577,0.0796513861412909,0.0621268604940992,"Random_Forest"
500,0.811786299801544,0.616441441441441,0.866658536585366,0.0446143847640718,0.076206257448741,0.0562027559874409,"Random_Forest"
1000,0.815925964291818,0.619492492492492,0.880715447154472,0.0436220858750708,0.0769206356295582,0.0495615019528764,"Random_Forest"
1500,0.81592672594197,0.618,0.889698025551684,0.0435382760304612,0.0737314278245824,0.0454471918530691,"Random_Forest"
80,0.758106260877602,0.539603603603604,0.834557491289199,0.0519012110425923,0.0781749955503048,0.0615599866499016,"Random_Forest"
500,0.805830386135264,0.628261261261261,0.843599303135888,0.0432309837700679,0.0740018481845134,0.0561566622419693,"Random_Forest"
1000,0.809092302668522,0.624824324324324,0.859825783972125,0.0424777783405761,0.0725682755961667,0.0525615787063199,"Random_Forest"
1500,0.80651843786295,0.613983483483484,0.869731707317073,0.0430453371641424,0.0709719804411923,0.0516771977691072,"Random_Forest"
80,0.769984449170425,0.53856006006006,0.852193960511034,0.0502723319413325,0.0833952966587519,0.0576330808315687,"Random_Forest"
500,0.825148799060384,0.626542042042042,0.865823461091754,0.0433976584547159,0.0751456451408754,0.0519132715835118,"Random_Forest"
1000,0.830646032792374,0.630662162162162,0.884349593495935,0.042889243964906,0.0765001189929614,0.0477937871274216,"Random_Forest"
1500,0.829869817552744,0.628336336336336,0.892283391405343,0.0436782771422768,0.0756358663640652,0.0470075992512798,"Random_Forest"
80,0.739987297401932,0.487864864864865,0.848017421602787,0.0558801051668322,0.0825074497501634,0.0625675076477729,"Random_Forest"
500,0.798434684684685,0.608219219219219,0.855413472706156,0.0474123894763545,0.0779923248666453,0.0576381815501535,"Random_Forest"
1000,0.802177892177892,0.605863363363363,0.869449477351916,0.0459391765402493,0.0754900229213925,0.0508819947908606,"Random_Forest"
1500,0.799574644330742,0.600033033033033,0.879183507549361,0.0463654579412657,0.0756676368042046,0.0473512235455176,"Random_Forest"
80,0.748276444999006,0.525875375375375,0.84018118466899,0.0539688642249411,0.0805929332833644,0.0639308942847404,"Random_Forest"
500,0.808820585829732,0.62931981981982,0.876376306620209,0.0460128908021819,0.0740112414626141,0.0494724878931328,"Random_Forest"
