	level_1	AUC
235	Cross-validation	0.8436293436293436
236	Cross-validation	0.7265122265122265
237	Cross-validation	0.758043758043758
238	Cross-validation	0.7685185185185185
239	Cross-validation	0.8265582655826558
240	Cross-validation	0.7927927927927928
241	Cross-validation	0.8526383526383527
242	Cross-validation	0.7039897039897041
243	Cross-validation	0.7923280423280423
244	Cross-validation	0.7649051490514905
245	Cross-validation	0.7638352638352639
246	Cross-validation	0.9272844272844273
247	Cross-validation	0.7535392535392536
248	Cross-validation	0.7314814814814814
249	Cross-validation	0.7025745257452574
250	Cross-validation	0.7937580437580438
251	Cross-validation	0.8005148005148004
252	Cross-validation	0.7841055341055342
253	Cross-validation	0.7681878306878307
254	Cross-validation	0.6849593495934959
255	Cross-validation	0.8021235521235521
256	Cross-validation	0.7290862290862291
257	Cross-validation	0.8265765765765767
258	Cross-validation	0.7572751322751322
259	Cross-validation	0.6405826558265582
260	Cross-validation	0.7387387387387387
261	Cross-validation	0.7812097812097811
262	Cross-validation	0.7895752895752896
263	Cross-validation	0.7453703703703703
264	Cross-validation	0.8550135501355014
265	Cross-validation	0.8346203346203346
266	Cross-validation	0.8285070785070785
267	Cross-validation	0.8014800514800514
268	Cross-validation	0.7447089947089948
269	Cross-validation	0.690379403794038
270	Cross-validation	0.7738095238095238
271	Cross-validation	0.8191763191763192
272	Cross-validation	0.8310810810810811
273	Cross-validation	0.787367724867725
274	Cross-validation	0.7984417344173441
275	Cross-validation	0.7976190476190477
276	Cross-validation	0.7075289575289576
277	Cross-validation	0.7512870012870014
278	Cross-validation	0.8716931216931216
279	Cross-validation	0.7157859078590786
280	Cross-validation	0.7754182754182755
281	Cross-validation	0.7564350064350065
282	Cross-validation	0.8095238095238095
283	Cross-validation	0.8201058201058202
284	Cross-validation	0.806910569105691
285	Cross-validation	0.7744530244530244
286	Cross-validation	0.6634491634491635
287	Cross-validation	0.8027670527670527
288	Cross-validation	0.8088624338624338
289	Cross-validation	0.8712737127371273
290	Cross-validation	0.8101673101673101
291	Cross-validation	0.7635135135135136
292	Cross-validation	0.7641570141570142
293	Cross-validation	0.7923280423280423
294	Cross-validation	0.7987804878048781
295	Cross-validation	0.7432432432432432
296	Cross-validation	0.6885456885456885
297	Cross-validation	0.7718790218790219
298	Cross-validation	0.7582671957671957
299	Cross-validation	0.8523035230352304
300	Cross-validation	0.6827541827541829
301	Cross-validation	0.8198198198198199
302	Cross-validation	0.8069498069498069
303	Cross-validation	0.835978835978836
304	Cross-validation	0.7232384823848239
305	Cross-validation	0.8545688545688546
306	Cross-validation	0.6393178893178894
307	Cross-validation	0.7876447876447877
308	Cross-validation	0.7533068783068784
309	Cross-validation	0.7676151761517614
310	Cross-validation	0.8104890604890606
311	Cross-validation	0.8342985842985843
312	Cross-validation	0.7397039897039898
313	Cross-validation	0.6425264550264551
314	Cross-validation	0.7693089430894309
315	Cross-validation	0.8825611325611326
316	Cross-validation	0.8072715572715572
317	Cross-validation	0.7776705276705278
318	Cross-validation	0.6577380952380952
319	Cross-validation	0.7750677506775068
320	Cross-validation	0.7593307593307593
321	Cross-validation	0.7892535392535392
322	Cross-validation	0.8638996138996138
323	Cross-validation	0.7943121693121692
324	Cross-validation	0.6663279132791328
325	Cross-validation	0.8127413127413127
326	Cross-validation	0.6647361647361647
327	Cross-validation	0.7660875160875161
328	Cross-validation	0.8568121693121693
329	Cross-validation	0.7466124661246613
330	Cross-validation	0.7622265122265123
331	Cross-validation	0.8085585585585586
332	Cross-validation	0.7493564993564993
333	Cross-validation	0.7486772486772486
334	Cross-validation	0.8248644986449865
335	Cross-validation	0.803088803088803
336	Cross-validation	0.7715572715572715
337	Cross-validation	0.8030888030888031
338	Cross-validation	0.6653439153439153
339	Cross-validation	0.7950542005420054
340	Cross-validation	0.8490990990990992
341	Cross-validation	0.7274774774774774
342	Cross-validation	0.7638352638352639
343	Cross-validation	0.8148148148148149
344	Cross-validation	0.7411924119241193
345	Cross-validation	0.6879021879021879
346	Cross-validation	0.6579794079794079
347	Cross-validation	0.8085585585585585
348	Cross-validation	0.77744708994709
349	Cross-validation	0.812669376693767
350	Cross-validation	0.7197554697554698
351	Cross-validation	0.8069498069498069
352	Cross-validation	0.7416344916344917
353	Cross-validation	0.8019179894179894
354	Cross-validation	0.8414634146341464
355	Cross-validation	0.7635135135135135
356	Cross-validation	0.8153153153153153
357	Cross-validation	0.7339124839124838
358	Cross-validation	0.8921957671957673
359	Cross-validation	0.7483062330623306
360	Cross-validation	0.7651222651222652
361	Cross-validation	0.8729086229086229
362	Cross-validation	0.7953667953667953
363	Cross-validation	0.7566137566137566
364	Cross-validation	0.6981707317073171
365	Cross-validation	0.7956885456885457
366	Cross-validation	0.7474259974259975
367	Cross-validation	0.8063063063063063
368	Cross-validation	0.7671957671957672
369	Cross-validation	0.7181571815718157
370	Cross-validation	0.7998712998713
371	Cross-validation	0.7586872586872587
372	Cross-validation	0.7393822393822395
373	Cross-validation	0.7437169312169312
374	Cross-validation	0.875338753387534
375	Cross-validation	0.8268983268983269
376	Cross-validation	0.8462033462033461
377	Cross-validation	0.6930501930501931
378	Cross-validation	0.781084656084656
379	Cross-validation	0.7378048780487805
380	Cross-validation	0.7442084942084941
381	Cross-validation	0.8243243243243243
382	Cross-validation	0.803088803088803
383	Cross-validation	0.8095238095238095
384	Cross-validation	0.7930216802168022
385	Cross-validation	0.8716216216216216
386	Cross-validation	0.8108108108108109
387	Cross-validation	0.6480051480051481
388	Cross-validation	0.8058862433862434
389	Cross-validation	0.7564363143631436
390	Cross-validation	0.7541827541827543
391	Cross-validation	0.7525740025740025
392	Cross-validation	0.824002574002574
393	Cross-validation	0.7827380952380951
394	Cross-validation	0.8346883468834687
395	Cross-validation	0.8014800514800514
396	Cross-validation	0.8648648648648649
397	Cross-validation	0.7358429858429859
398	Cross-validation	0.7526455026455027
399	Cross-validation	0.8157181571815718
400	Cross-validation	0.7335907335907337
401	Cross-validation	0.7641570141570142
402	Cross-validation	0.8359073359073359
403	Cross-validation	0.7906746031746031
404	Cross-validation	0.7811653116531164
405	Cross-validation	0.7664092664092663
406	Cross-validation	0.6624839124839126
407	Cross-validation	0.7194337194337195
408	Cross-validation	0.8207671957671958
409	Cross-validation	0.7594850948509485
410	Cross-validation	0.7187902187902188
411	Cross-validation	0.7625482625482627
412	Cross-validation	0.7734877734877734
413	Cross-validation	0.6805555555555555
414	Cross-validation	0.8584010840108401
415	Cross-validation	0.7477477477477478
416	Cross-validation	0.7734877734877736
417	Cross-validation	0.7985842985842987
418	Cross-validation	0.8082010582010581
419	Cross-validation	0.7804878048780489
420	Cross-validation	0.7927927927927927
421	Cross-validation	0.7104247104247104
422	Cross-validation	0.7432432432432432
423	Cross-validation	0.730489417989418
424	Cross-validation	0.8617886178861789
425	Cross-validation	0.7944015444015443
426	Cross-validation	0.6859716859716859
427	Cross-validation	0.8127413127413128
428	Cross-validation	0.7999338624338624
429	Cross-validation	0.7523712737127372
430	Cross-validation	0.7857142857142857
431	Cross-validation	0.8005148005148005
432	Cross-validation	0.7397039897039899
433	Cross-validation	0.751984126984127
434	Cross-validation	0.7306910569105691
435	Cross-validation	0.7564350064350065
436	Cross-validation	0.6840411840411841
437	Cross-validation	0.8166023166023166
438	Cross-validation	0.7242063492063492
439	Cross-validation	0.8421409214092141
440	Cross-validation	0.7773487773487773
441	Cross-validation	0.7496782496782497
442	Cross-validation	0.7477477477477478
443	Cross-validation	0.789021164021164
444	Cross-validation	0.8394308943089431
445	Cross-validation	0.7850707850707851
446	Cross-validation	0.7017374517374517
447	Cross-validation	0.7966537966537968
448	Cross-validation	0.7162698412698413
449	Cross-validation	0.7811653116531165
450	Cross-validation	0.7348777348777348
451	Cross-validation	0.7014157014157013
452	Cross-validation	0.8256113256113257
453	Cross-validation	0.8167989417989419
454	Cross-validation	0.744579945799458
455	Cross-validation	0.7635135135135134
456	Cross-validation	0.8301158301158301
457	Cross-validation	0.7873230373230373
458	Cross-validation	0.7480158730158729
459	Cross-validation	0.8194444444444445
460	Cross-validation	0.832046332046332
461	Cross-validation	0.7564350064350065
462	Cross-validation	0.7686615186615187
463	Cross-validation	0.7767857142857143
