"cost","Loss","Accuracy","Kappa","AccuracySD","KappaSD","model"
0.12,"L2",0.684272124499973,0.351526577946394,0.0424702724496602,0.0875981182358151,"L1_Linear_SVM"
0.14,"L2",0.684103723280938,0.353251410215436,0.0424854243188258,0.0873886653534856,"L1_Linear_SVM"
0.16,"L2",0.685980770284568,0.358886266636104,0.0424510991736892,0.0869259089132316,"L1_Linear_SVM"
0.18,"L2",0.687252743037553,0.362997362259744,0.042759671015713,0.0873605715841521,"L1_Linear_SVM"
0.2,"L2",0.688876515889174,0.367432293223862,0.0430657009720924,0.0880154633510447,"L1_Linear_SVM"
0.3,"L2",0.685427943364652,0.363534913217195,0.0424905855364475,0.0858842953191329,"L1_Linear_SVM"
0.1,"L2",0.719071784755329,0.422205557650769,0.039427418011991,0.0814533120842642,"L1_Linear_SVM"
0.12,"L2",0.712960356099597,0.411074003173307,0.040449767920037,0.0829320871147809,"L1_Linear_SVM"
0.14,"L2",0.70991064631571,0.406149398890834,0.0416603318298656,0.0855907957026695,"L1_Linear_SVM"
0.16,"L2",0.707131935574974,0.401765308521114,0.042142960679287,0.0861988187282694,"L1_Linear_SVM"
0.18,"L2",0.705249370882282,0.399214930734476,0.04244208008552,0.0866655239330978,"L1_Linear_SVM"
0.2,"L2",0.701854120562981,0.39345816079056,0.0445662642134399,0.0906155315034823,"L1_Linear_SVM"
0.3,"L2",0.695386912665394,0.384279925851161,0.0475030216865092,0.0953768517278999,"L1_Linear_SVM"
0.1,"L2",0.700412574767005,0.381577099609249,0.0416466122817791,0.0853493285187903,"L1_Linear_SVM"
0.12,"L2",0.697832656794682,0.378156963627043,0.0434877653458078,0.0878050291602439,"L1_Linear_SVM"
0.14,"L2",0.69281798370406,0.36984591453097,0.0464813427794949,0.0926353375746094,"L1_Linear_SVM"
0.16,"L2",0.687230520534318,0.36039861483287,0.0493526456740332,0.0978664624829632,"L1_Linear_SVM"
0.18,"L2",0.682448197372248,0.352160268899659,0.0496517095834592,0.0984516575580109,"L1_Linear_SVM"
0.2,"L2",0.677610448623107,0.343554738219313,0.0490809503618352,0.0975129279496123,"L1_Linear_SVM"
0.3,"L2",0.66956712064307,0.33152512474706,0.0533330864728461,0.104738132165809,"L1_Linear_SVM"
