names	imp	sd_imp
Otu02151	0.66709401709401706	0.043827601857182465
Otu02308	0.66709401709401706	0.04379034044383786
Otu02351	0.66709401709401706	0.04372602601178176
Otu02359	0.66709401709401706	0.0437877934051465
Otu02507	0.66709401709401706	0.043611230395731636
Otu02595	0.66709401709401706	0.043972637673359447
Otu02708	0.66709401709401706	0.04377191551758006
Otu03133	0.66709401709401706	0.043747640327524
Otu03256	0.66709401709401706	0.04376999875861517
Otu03264	0.66709401709401706	0.04376389943595232
Otu03540	0.66709401709401706	0.04376520902297202
Otu03960	0.66709401709401706	0.04373266005672105
Otu03992	0.66709401709401706	0.04381440787988275
Otu04051	0.66709401709401706	0.04383303163247107
Otu04633	0.66709401709401706	0.04389426522128966
Otu00002	0.6672008547008547	0.04393793451014594
Otu00025	0.6672008547008547	0.04377055718980163
Otu00080	0.6672008547008547	0.0437929825345069
Otu00083	0.6672008547008547	0.044069332247509405
Otu00108	0.6672008547008547	0.043723102679644986
Otu00115	0.6672008547008547	0.04403879455548788
Otu00142	0.6672008547008547	0.0439210570521855
Otu00233	0.6672008547008547	0.04358556764534177
Otu00334	0.6672008547008547	0.04398398359398499
Otu00336	0.6672008547008547	0.04307478326324529
Otu00400	0.6672008547008547	0.043821025124358086
Otu00444	0.6672008547008547	0.04376637789705731
Otu00558	0.6672008547008547	0.043454721873781084
Otu00643	0.6672008547008547	0.04398514843673586
Otu00650	0.6672008547008547	0.04386758723192324
Otu00670	0.6672008547008547	0.043791672724923195
Otu00728	0.6672008547008547	0.04386652834323333
Otu00744	0.6672008547008547	0.04376576751527331
Otu00865	0.6672008547008547	0.043761483591617224
Otu00951	0.6672008547008547	0.04389709436767161
Otu01012	0.6672008547008547	0.043778199236895465
Otu01015	0.6672008547008547	0.044011751236245
Otu01095	0.6672008547008547	0.04382009356173266
Otu01241	0.6672008547008547	0.043762161426218846
Otu01248	0.6672008547008547	0.043857495210715684
Otu01279	0.6672008547008547	0.04383513374838767
Otu01526	0.6672008547008547	0.04372089792168236
Otu01643	0.6672008547008547	0.04364813289941121
Otu01754	0.6672008547008547	0.043744721128170364
Otu01769	0.6672008547008547	0.04374966279501571
Otu01799	0.6672008547008547	0.043901887782848585
Otu01881	0.6672008547008547	0.043795313451101034
Otu02038	0.6672008547008547	0.04377557079250285
Otu02082	0.6672008547008547	0.04410927283674437
Otu02143	0.6672008547008547	0.043853667565175794
Otu02159	0.6672008547008547	0.04378373120168088
Otu02204	0.6672008547008547	0.04384198886022054
Otu02285	0.6672008547008547	0.04384964070254802
Otu02372	0.6672008547008547	0.04380613079961614
Otu02414	0.6672008547008547	0.04320620495774805
Otu02474	0.6672008547008547	0.04376927874064476
Otu02483	0.6672008547008547	0.0435500253994419
Otu02607	0.6672008547008547	0.04378717563325856
Otu02822	0.6672008547008547	0.04408863870561426
Otu02840	0.6672008547008547	0.043826310076839646
Otu03039	0.6672008547008547	0.0437728987300986
Otu03146	0.6672008547008547	0.04363128466130837
Otu03568	0.6672008547008547	0.043770633473055875
Otu03830	0.6672008547008547	0.04378285588401151
Otu03903	0.6672008547008547	0.043813607278305626
Otu04193	0.6672008547008547	0.04377050898588109
Otu04228	0.6672008547008547	0.04378939706468993
Otu04886	0.6672008547008547	0.043673580109925336
Otu05314	0.6672008547008547	0.043967404294720486
Otu05358	0.6672008547008547	0.043764045650085584
Otu05392	0.6672008547008547	0.043777318909960575
Otu05433	0.6672008547008547	0.04383712303787186
Otu06119	0.6672008547008547	0.0437737407963453
Otu06189	0.6672008547008547	0.04392206469868683
Otu06235	0.6672008547008547	0.043820117925849486
Otu00276	0.6672008547008548	0.04383539003550582
Otu00103	0.6673076923076923	0.04384426279004067
Otu00113	0.6673076923076923	0.04380148147022479
Otu00155	0.6673076923076923	0.043877393774171665
Otu00167	0.6673076923076923	0.043892471485011936
Otu00168	0.6673076923076923	0.04360258226109395
Otu00187	0.6673076923076923	0.0437455569369707
Otu00188	0.6673076923076923	0.043759498346307366
Otu00218	0.6673076923076923	0.0438292037971242
Otu00288	0.6673076923076923	0.043765825260863214
Otu00311	0.6673076923076923	0.04394863915387127
Otu00312	0.6673076923076923	0.04380582112287259
Otu00346	0.6673076923076923	0.04390908091565003
Otu00352	0.6673076923076923	0.043498480542595204
Otu00363	0.6673076923076923	0.04390224878057494
Otu00378	0.6673076923076923	0.043846095364899765
Otu00442	0.6673076923076923	0.0439623691915021
Otu00538	0.6673076923076923	0.04389287999934509
Otu00578	0.6673076923076923	0.04364422866919792
Otu00610	0.6673076923076923	0.04374086532107122
Otu00614	0.6673076923076923	0.04362898282394844
Otu00640	0.6673076923076923	0.043767517815590906
Otu00846	0.6673076923076923	0.04400790918413939
Otu00923	0.6673076923076923	0.043733896341021594
Otu00929	0.6673076923076923	0.043736874890244935
